country1,country2,sector,fisher_index
ARG,AUS,ag,0.6212263594367032
AUS,ARG,ag,1.609719202686038
ARG,AUT,ag,0.6005620895060708
AUT,ARG,ag,1.665106768265118
ARG,BEL,ag,0.6719827290769088
BEL,ARG,ag,1.4881334842841614
ARG,BGD,ag,0.976619930241956
BGD,ARG,ag,1.0239397835678528
ARG,BGR,ag,0.7311283145803037
BGR,ARG,ag,1.367748971087297
ARG,BOL,ag,1.1869701731688886
BOL,ARG,ag,0.842481152942766
ARG,BRA,ag,1.2320755367352167
BRA,ARG,ag,0.8116385482742592
ARG,BWA,ag,0.5714806633974285
BWA,ARG,ag,1.7498404828871057
ARG,CAN,ag,0.7949602508625032
CAN,ARG,ag,1.2579245300818955
ARG,CHE,ag,0.2495379818512047
CHE,ARG,ag,4.007405977164163
ARG,CHL,ag,0.9709871786321337
CHL,ARG,ag,1.0298797162375901
ARG,CHN,ag,0.5542586181172673
CHN,ARG,ag,1.8042119099507175
ARG,CMR,ag,0.5200878664454789
CMR,ARG,ag,1.9227520281033714
ARG,COL,ag,0.7240234632475636
COL,ARG,ag,1.3811707089084657
ARG,CRI,ag,0.6234143875561615
CRI,ARG,ag,1.6040694920758674
ARG,CYP,ag,0.34586503905987953
CYP,ARG,ag,2.89130119285306
ARG,CZE,ag,0.6968205013044466
CZE,ARG,ag,1.4350898088216437
ARG,DEU,ag,0.8357025690657985
DEU,ARG,ag,1.1965979727905631
ARG,DNK,ag,0.7923133223431604
DNK,ARG,ag,1.262126953820029
ARG,ECU,ag,0.8649238912570517
ECU,ARG,ag,1.1561710921716284
ARG,EGY,ag,0.8784835012103517
EGY,ARG,ag,1.1383253056229583
ARG,ESP,ag,0.6729961772166201
ESP,ARG,ag,1.4858925412263162
ARG,EST,ag,0.5440621693418108
EST,ARG,ag,1.838025241140674
ARG,ETH,ag,0.6389980511243893
ETH,ARG,ag,1.5649499998323733
ARG,FIN,ag,0.5344234239983455
FIN,ARG,ag,1.8711754670452014
ARG,FRA,ag,0.5976369523766831
FRA,ARG,ag,1.6732566418846746
ARG,GBR,ag,0.5251113985828821
GBR,ARG,ag,1.9043578233089198
ARG,GHA,ag,0.4672065331927355
GHA,ARG,ag,2.1403810284208347
ARG,GRC,ag,0.43683182726630504
GRC,ARG,ag,2.2892104869235452
ARG,HKG,ag,0.22800747452050835
HKG,ARG,ag,4.385821131973698
ARG,HRV,ag,0.4872083471284932
HRV,ARG,ag,2.0525099906309
ARG,HUN,ag,0.9001962486162303
HUN,ARG,ag,1.1108688816879506
ARG,IDN,ag,0.6385069574294246
IDN,ARG,ag,1.5661536469796913
ARG,IND,ag,0.7785407862471803
IND,ARG,ag,1.284454222135651
ARG,IRL,ag,0.4930766638540159
IRL,ARG,ag,2.028082189458611
ARG,ISL,ag,0.22379741791329122
ISL,ARG,ag,4.468326798959956
ARG,ISR,ag,0.5169257376807426
ISR,ARG,ag,1.934513852002486
ARG,ITA,ag,0.62209842935663
ITA,ARG,ag,1.6074626663728975
ARG,JPN,ag,0.10615276805279415
JPN,ARG,ag,9.42038552873778
ARG,KEN,ag,0.5329994222379731
KEN,ARG,ag,1.8761746416181306
ARG,KHM,ag,0.4961070508848166
KHM,ARG,ag,2.0156939882561242
ARG,KOR,ag,0.17666409199240257
KOR,ARG,ag,5.660459851926248
ARG,LAO,ag,0.5147831764202909
LAO,ARG,ag,1.9425654252219724
ARG,LKA,ag,0.8012046623273936
LKA,ARG,ag,1.2481205452488657
ARG,LTU,ag,0.8213878108454363
LTU,ARG,ag,1.2174517162249123
ARG,LUX,ag,0.4050903392860752
LUX,ARG,ag,2.468585159948233
ARG,LVA,ag,0.6526745078909978
LVA,ARG,ag,1.5321572819372449
ARG,MAR,ag,0.46066470554132893
MAR,ARG,ag,2.1707762456533244
ARG,MEX,ag,0.6266720860595982
MEX,ARG,ag,1.5957308810223552
ARG,MKD,ag,0.6027283845690439
MKD,ARG,ag,1.6591221279797679
ARG,MMR,ag,1.1871392884626804
MMR,ARG,ag,0.8423611363203878
ARG,MUS,ag,0.28955379045464186
MUS,ARG,ag,3.4535897403720863
ARG,MWI,ag,0.594712457193657
MWI,ARG,ag,1.6814848720654405
ARG,MYS,ag,0.6436269016596446
MYS,ARG,ag,1.5536951569634805
ARG,NAM,ag,0.5623692237882633
NAM,ARG,ag,1.7781911913026527
ARG,NGA,ag,0.3021093263421093
NGA,ARG,ag,3.3100600107512
ARG,NLD,ag,0.6108992737721487
NLD,ARG,ag,1.6369310669257349
ARG,NOR,ag,0.333771356112075
NOR,ARG,ag,2.9960629685197326
ARG,NPL,ag,0.7157420624203201
NPL,ARG,ag,1.3971513657007197
ARG,NZL,ag,0.5613144491195498
NZL,ARG,ag,1.7815326178910071
ARG,PAK,ag,0.646194471996907
PAK,ARG,ag,1.5475217497756408
ARG,PER,ag,0.8373897956758471
PER,ARG,ag,1.1941869905315863
ARG,PHL,ag,0.9643410640108238
PHL,ARG,ag,1.036977514823299
ARG,POL,ag,0.9767266835490712
POL,ARG,ag,1.0238278700100236
ARG,PRT,ag,0.474241174586863
PRT,ARG,ag,2.108631754446783
ARG,ROU,ag,0.42741724655928715
ROU,ARG,ag,2.3396341819381634
ARG,RUS,ag,0.6153411825717044
RUS,ARG,ag,1.6251146978667759
ARG,RWA,ag,0.5275764040708093
RWA,ARG,ag,1.8954600552335992
ARG,SEN,ag,0.4179334079291483
SEN,ARG,ag,2.392725685546365
ARG,SGP,ag,0.2660945883335763
SGP,ARG,ag,3.758062147233147
ARG,SVK,ag,0.6621047747561155
SVK,ARG,ag,1.5103349773732522
ARG,SVN,ag,0.5380682548332516
SVN,ARG,ag,1.8585002757873197
ARG,SWE,ag,0.6668683230775095
SWE,ARG,ag,1.4995464102795162
ARG,THA,ag,0.7803061532674762
THA,ARG,ag,1.2815482689872064
ARG,TUN,ag,0.7029843367913127
TUN,ARG,ag,1.4225068008831885
ARG,TUR,ag,0.3823650915832262
TUR,ARG,ag,2.6153015063676084
ARG,TWN,ag,0.8832801233092434
TWN,ARG,ag,1.1321436695002953
ARG,TZA,ag,0.28296123329974754
TZA,ARG,ag,3.5340530161623818
ARG,UGA,ag,1.669584322516759
UGA,ARG,ag,0.5989514794272764
ARG,USA,ag,0.7415759707238249
