CountryID,Country,IndicatorName,Year,VA_real,VA_nom,VA_n_nom,VA_n_real,VA_aggregate_nom,VA_aggregate_real,p_a,p_n,p_agg,ISO,GEKS ag index,GEKS non_ag index,GEKS aggregate index,PPPs_ag,PPPs_non_ag,PPPs_aggregate,VA_ag_PPP,VA_non_ag_PPP,VA_agg_PPP
32,Argentina,"Agriculture, hunting, forestry, fishing (ISIC A-B)",2005,29065886340.836906,15926903946.832573,154704718250.0002,372595763394.34985,170631622196.8328,401661649735.18677,0.5479586536625115,0.4152079369895117,0.4248143239697622,ARG,0.7415759707238249,0.3894831364475445,0.4003984264582311,0.6033806980016893,0.31863878271064777,0.32755082258458973,26396111111.244038,485517541003.43085,520931746867.36536
36,Australia,"Agriculture, hunting, forestry, fishing (ISIC A-B)",2005,28436819410.590565,20847312660.051678,681590817682.4288,838622740892.5674,702438130342.4805,867059560303.158,0.7331098587026801,0.8127502206260165,0.8101382678911707,AUS,1.1937290803246854,1.0389917473356247,1.042998206289643,0.9712734961034287,0.8500061610806605,0.8532374201527063,21463895332.969833,801865738026.9858,823262217234.6393
40,Austria,"Agriculture, hunting, forestry, fishing (ISIC A-B)",2005,4072483707.7324195,4026108766.2815795,274892315471.8789,296998978427.07056,278918424238.16046,301071462134.803,0.9886126146157963,0.9255665353723765,0.9264193366599335,AUT,1.2348031680350164,0.9850843641000312,0.9918446530889647,1.0046932840831444,0.8059041670123774,0.8113906312499166,4007301362.580219,341098019744.64417,343753567635.47687
50,Bangladesh,"Agriculture, hunting, forestry, fishing (ISIC A-B)",2005,18815316030.501717,11134247069.389868,44144403305.11962,83968995185.4787,55278650374.50949,102784311215.98041,0.5917650838997345,0.5257226576024789,0.5378121400098952,BGD,0.7593291389620732,0.2566718053834773,0.2726106000539085,0.6178255013208693,0.20998493636848475,0.223012430600177,18021669622.871826,210226524190.54648,247872507490.9148
56,Belgium,"Agriculture, hunting, forestry, fishing (ISIC A-B)",2005,2399508773.98535,3242472476.887053,341157420306.91486,358730163437.8619,344399892783.8019,361129672211.8472,1.3513067808048154,0.9510140352778255,0.9536737612127556,BEL,1.1035640331746528,1.0536670501518464,1.0546801228476426,0.8979110204670616,0.8620121253643048,0.8627939546570607,3611128945.939914,395768702398.16455,399168180218.2913
68,Bolivia (Plurinational State of),"Agriculture, hunting, forestry, fishing (ISIC A-B)",2005,2526675056.5172577,1126101409.2067847,6979397759.68758,14049555985.257132,8105499168.894365,16576231041.77439,0.44568509365782516,0.4967699881057732,0.48898324042826075,BOL,0.6247637788100586,0.2370351973509087,0.249577271365517,0.5083368661158739,0.19392009480144434,0.20416973477472047,2215266065.220013,35991101215.342415,39699807504.9562
72,Botswana,"Agriculture, hunting, forestry, fishing (ISIC A-B)",2005,214803263.40974844,158001565.2513803,9106396804.416866,9340784567.038101,9264398369.668247,9555587830.44785,0.735564081957098,0.9749070582948304,0.9695267872634943,BWA,1.297639654708843,0.4744668493108125,0.4995532315856665,1.0558199719560275,0.38816453179434385,0.40866562183591554,149648206.55804065,23460146557.752964,22669874524.919106
76,Brazil,"Agriculture, hunting, forestry, fishing (ISIC A-B)",2005,56285974121.905624,41471394555.68475,715522502890.3645,1129469994754.1602,756993897446.0493,1185755968876.0657,0.7367980247772727,0.6335028873840113,0.6384061453754063,BRA,0.60189164431336,0.5884592686281288,0.5894937145146009,0.48972703378280047,0.48142249941986465,0.4822425322838914,84682673601.55125,1486267267841.866,1569736899524.272
100,Bulgaria,"Agriculture, hunting, forestry, fishing (ISIC A-B)",2005,2771445719.227088,2175538709.1309547,23226302515.670044,32487933883.058304,25401841224.801,35259379602.28539,0.7849833370496889,0.7149208872215176,0.7204279119861354,BGR,1.0142897709405805,0.3614755842962964,0.3817444098456997,0.8252733288657501,0.2957256152611487,0.3122906764846433,2636143242.531538,78540042921.74492,81340376570.76874
116,Cambodia,"Agriculture, hunting, forestry, fishing (ISIC A-B)",2005,3422860060.491379,1939400809.807697,4718405244.722297,7672804552.259795,6657806054.529994,11095664612.751175,0.5666024247363711,0.6149518357446797,0.6000367068484407,KHM,1.494790226023207,0.2444184309267295,0.2828655512285326,1.216230845591784,0.19996036802232298,0.23140161864600794,1594599262.8266542,23596702143.47449,28771648588.65974
120,Cameroon,"Agriculture, hunting, forestry, fishing (ISIC A-B)",2005,3833049039.5394263,3264813174.0584755,14852543662.100142,16635557468.366198,18117356836.158615,20468606507.905624,0.851753562341788,0.8928191129358547,0.8851289817487633,CMR,1.4258667017019488,0.3665488117918766,0.3989861384340362,1.1601514608011663,0.29987605691659525,0.3263954831189895,2814126676.0151234,49528941439.39971,55507376091.82484
